iterID,x1,x2,Pareto_f1,Pareto_f2,Pareto_f3
0,2.85,0.98,-0.9427284357878332,-1.906332641948766,-0.98
0,2.15,0.36999999999999994,-0.45276965692159526,-3.025975181717889,-0.36999999999999994
0,2.62,0.10000000000000002,-0.15810509962180852,-3.5699076230054763,-0.10000000000000002
1,3.5,1.0,-0.9485316733068975,-1.9742915899163007,-1.0
1,2.6829713231258,1.0,-0.9235767170987841,-2.1649801643899576,-1.0
1,3.1364653293073004,1.0,-0.9138570866832847,-2.2127509767611153,-1.0
1,2.73288995103603,0.525104193043373,-0.9027966115668613,-2.333696981266478,-0.525104193043373
1,3.5,0.264422814079213,-0.8188856051689921,-2.517802875759573,-0.264422814079213
1,2.56860242019602,0.331438390030521,-0.8018358574710299,-2.613449229118172,-0.331438390030521
1,2.15,0.36999999999999994,-0.45276965692159526,-3.025975181717889,-0.36999999999999994
1,2.62,0.10000000000000002,-0.15810509962180852,-3.5699076230054763,-0.10000000000000002
2,3.5,1.0,-0.9485316733068975,-1.9742915899163007,-1.0
2,2.21,1.0,-0.9396120360954355,-2.493757309813009,-1.0
2,2.47,0.49,-0.9204811990227639,-2.534181286292685,-0.49
2,2.56860242019602,0.331438390030521,-0.8018358574710299,-2.613449229118172,-0.331438390030521
2,2.51,0.18000000000000002,-0.7157977469984803,-3.005180462339167,-0.18000000000000002
2,2.9599999999999995,0.27,-0.6482463097525188,-2.6844437223771074,-0.27
2,2.15,0.36999999999999994,-0.45276965692159526,-3.025975181717889,-0.36999999999999994
2,2.62,0.10000000000000002,-0.15810509962180852,-3.5699076230054763,-0.10000000000000002
3,3.5,1.0,-0.9485316733068975,-1.9742915899163007,-1.0
3,2.21,1.0,-0.9396120360954355,-2.493757309813009,-1.0
3,2.47,0.49,-0.9204811990227639,-2.534181286292685,-0.49
3,2.22,0.53,-0.8272784137149832,-3.0676599714650163,-0.53
3,2.62,0.10000000000000002,-0.15810509962180852,-3.5699076230054763,-0.10000000000000002
4,3.5,1.0,-0.9485316733068975,-1.9742915899163007,-1.0
4,2.21,1.0,-0.9396120360954355,-2.493757309813009,-1.0
4,2.47,0.49,-0.9204811990227639,-2.534181286292685,-0.49
4,2.22,0.53,-0.8272784137149832,-3.0676599714650163,-0.53
4,3.180218038739024,0.8353571204358325,-0.807245154690328,-2.5681276529905657,-0.8346127585104
4,2.065073647306164,0.605790112882264,-0.5144661646158005,-2.9499046947652356,-0.6043497631375875
4,2.00920238606035,0.5344944525430584,-0.41405884460587267,-3.3155936882735264,-0.5332964448650362
4,1.9417214916047387,0.4477962450118482,-0.29462153440158145,-3.798624534466681,-0.4468183044473647
4,1.8936475256896195,0.31766102044891736,-0.19386595185190164,-4.239245027806835,-0.316416152075115
